epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1011.03,0.97898,2.22477,1.12583,0.55443,0.32949,0.3616,0.28316,0.86237,1.57836,1.05462,0.067,3.3033e-05,3.3033e-05
2,2033.42,0.79558,1.22446,1.0121,0.64484,0.4519,0.50441,0.3967,0.7185,1.14869,0.97322,0.0336934,5.97304e-05,5.97304e-05
3,3065.23,0.7188,0.93912,0.96195,0.75252,0.50155,0.58286,0.47051,0.64634,0.9003,0.89962,0.000380062,7.97618e-05,7.97618e-05
4,4097.83,0.6448,0.80539,0.92747,0.72638,0.55767,0.62277,0.49703,0.60783,0.83141,0.88984,7.0003e-05,7.0003e-05,7.0003e-05
5,5138.15,0.61856,0.70354,0.91191,0.76898,0.60844,0.66608,0.53616,0.5877,0.74699,0.88296,6.0004e-05,6.0004e-05,6.0004e-05
6,6524.86,0.59191,0.64097,0.90014,0.78927,0.61183,0.67479,0.54925,0.57946,0.68981,0.88146,5.0005e-05,5.0005e-05,5.0005e-05
7,7820.56,0.5634,0.58146,0.88708,0.81707,0.60028,0.68512,0.55413,0.56308,0.63898,0.87897,4.0006e-05,4.0006e-05,4.0006e-05
8,8828.97,0.56046,0.56322,0.88743,0.82426,0.62324,0.69906,0.56664,0.5525,0.63174,0.87031,3.0007e-05,3.0007e-05,3.0007e-05
9,9844.67,0.52564,0.52822,0.8701,0.80654,0.62418,0.69631,0.56704,0.54831,0.61481,0.86641,2.0008e-05,2.0008e-05,2.0008e-05
10,10857.5,0.53467,0.52125,0.87481,0.8599,0.62052,0.70215,0.57565,0.53665,0.59724,0.8619,1.0009e-05,1.0009e-05,1.0009e-05
